tree_label,display_name,f_kingdom,f_class,f_order,f_family,f_genus,f_species,type_meiosis,type_meiosis_ring,sex_no_recomb_ring,sex_chr_sys,diploid_num
Animalia|Arachnida|Scorpiones|Buthidae|Androctonus|tenuissimus,tenuissimus,Animalia,Arachnida,Scorpiones,Buthidae,Androctonus,tenuissimus,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Apistobuthus|pterygocercus,pterygocercus,Animalia,Arachnida,Scorpiones,Buthidae,Apistobuthus,pterygocercus,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Barbaracurus|winklerorum sp. n.,winklerorum sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Barbaracurus,winklerorum sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,0
Animalia|Arachnida|Scorpiones|Buthidae|Barbaracurus|yemenensis sp. n.,yemenensis sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Barbaracurus,yemenensis sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,0
Animalia|Arachnida|Scorpiones|Buthidae|Buthacus|macrocentrus,macrocentrus,Animalia,Arachnida,Scorpiones,Buthidae,Buthacus,macrocentrus,Achiasmatic,Achiasmatic,Heterogametic,NA,28
Animalia|Arachnida|Scorpiones|Buthidae|Buthacus|nigroaculeatus,nigroaculeatus,Animalia,Arachnida,Scorpiones,Buthidae,Buthacus,nigroaculeatus,Achiasmatic,Achiasmatic,Heterogametic,NA,26
Animalia|Arachnida|Scorpiones|Buthidae|Buthacus|stockmanni,stockmanni,Animalia,Arachnida,Scorpiones,Buthidae,Buthacus,stockmanni,Achiasmatic,Achiasmatic,Heterogametic,NA,20
Animalia|Arachnida|Scorpiones|Buthidae|Buthacus|stockmanni sp. n.,stockmanni sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Buthacus,stockmanni sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,20
Animalia|Arachnida|Scorpiones|Buthidae|Buthus|atlantis,atlantis,Animalia,Arachnida,Scorpiones,Buthidae,Buthus,atlantis,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Buthus|awashensis,awashensis,Animalia,Arachnida,Scorpiones,Buthidae,Buthus,awashensis,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Buthus|maroccancus,maroccancus,Animalia,Arachnida,Scorpiones,Buthidae,Buthus,maroccancus,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Buthus|pococki sp. n,pococki sp. n,Animalia,Arachnida,Scorpiones,Buthidae,Buthus,pococki sp. n,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Buthus|zeylensis,zeylensis,Animalia,Arachnida,Scorpiones,Buthidae,Buthus,zeylensis,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Centruroides|baracoae,baracoae,Animalia,Arachnida,Scorpiones,Buthidae,Centruroides,baracoae,Achiasmatic,Achiasmatic,Heterogametic,NA,26
Animalia|Arachnida|Scorpiones|Buthidae|Centruroides|exilicauda,exilicauda,Animalia,Arachnida,Scorpiones,Buthidae,Centruroides,exilicauda,Achiasmatic,Achiasmatic,Heterogametic,NA,26
Animalia|Arachnida|Scorpiones|Buthidae|Centruroides|gracilis,gracilis,Animalia,Arachnida,Scorpiones,Buthidae,Centruroides,gracilis,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Centruroides|vittatus,vittatus,Animalia,Arachnida,Scorpiones,Buthidae,Centruroides,vittatus,Achiasmatic,Achiasmatic,Heterogametic,NA,26
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|acutecarinatus,acutecarinatus,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,acutecarinatus,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|arabicus,arabicus,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,arabicus,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|eritreaensis,eritreaensis,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,eritreaensis,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|eritreaensis sp. n.,eritreaensis sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,eritreaensis sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|maindroni,maindroni,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,maindroni,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|matthiesseni,matthiesseni,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,matthiesseni,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|schmiedeknechti,schmiedeknechti,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,schmiedeknechti,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|turieli sp. n.,turieli sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,turieli sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Compsobuthus|ullrichi sp. n.,ullrichi sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Compsobuthus,ullrichi sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,22
Animalia|Arachnida|Scorpiones|Buthidae|Euscorpius|bonacinai sp. n.,bonacinai sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Euscorpius,bonacinai sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,0
Animalia|Arachnida|Scorpiones|Buthidae|Euscorpius|janstai sp. n.,janstai sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Euscorpius,janstai sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,112
Animalia|Arachnida|Scorpiones|Buthidae|Euscorpius|kabateki sp. n.,kabateki sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Euscorpius,kabateki sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,0
Animalia|Arachnida|Scorpiones|Buthidae|Euscorpius|sadileki sp. n.,sadileki sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Euscorpius,sadileki sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,90
Animalia|Arachnida|Scorpiones|Buthidae|Euscorpius|scheraboni sp. n.,scheraboni sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Euscorpius,scheraboni sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,0
Animalia|Arachnida|Scorpiones|Buthidae|Gint|gaitako sp. n.,gaitako sp. n.,Animalia,Arachnida,Scorpiones,Buthidae,Gint,gaitako sp. n.,Achiasmatic,Achiasmatic,Heterogametic,NA,30
Animalia|Arachnida|Scorpiones|Buthidae|Grosphus|sp.,sp.,Animalia,Arachnida,Scorpiones,Buthidae,Grosphus,sp.,Achiasmatic,Achiasmatic,Heterogametic,NA,13
Animalia|Arachnida|Scorpiones|Buthidae|Hemilychas|alexandrinus,alexandrinus,Animalia,Arachnida,Scorpiones,Buthidae,Hemilychas,alexandrinus,Achiasmatic,Achiasmatic,Heterogametic,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Heteroctenus|abudi,abudi,Animalia,Arachnida,Scorpiones,Buthidae,Heteroctenus,abudi,Achiasmatic,Achiasmatic,Heterogametic,NA,16
Animalia|Arachnida|Scorpiones|Buthidae|Heteroctenus|garridoi,garridoi,Animalia,Arachnida,Scorpiones,Buthidae,Heteroctenus,garridoi,Achiasmatic,Achiasmatic,Heterogametic,NA,23
Animalia|Arachnida|Scorpiones|Buthidae|Heteroctenus|princeps,princeps,Animalia,Arachnida,Scorpiones,Buthidae,Heteroctenus,princeps,Achiasmatic,Achiasmatic,Heterogametic,NA,16
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|arenaceus,arenaceus,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,arenaceus,Achiasmatic,Achiasmatic,Heterogametic,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|conspersus,conspersus,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,conspersus,Achiasmatic,Achiasmatic,Heterogametic,NA,16
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|flavidulus,flavidulus,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,flavidulus,Achiasmatic,Achiasmatic,Heterogametic,NA,24
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|hottentotta,hottentotta,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,hottentotta,Achiasmatic,Achiasmatic,Heterogametic,NA,16
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|minusalta,minusalta,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,minusalta,Achiasmatic,Achiasmatic,Heterogametic,NA,16
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|saulcyi,saulcyi,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,saulcyi,Achiasmatic,Achiasmatic,Heterogametic,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|sousai,sousai,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,sousai,Achiasmatic,Achiasmatic,Heterogametic,NA,14
Animalia|Arachnida|Scorpiones|Buthidae|Hottentotta|sp.,sp.,Animalia,Arachnida,Scorpiones,Buthidae,Hottentotta,sp.,Achiasmatic,Achiasmatic,Heterogametic,NA,22
